No.	prompt	description	hot	view_count	like	author	type
499	Study Buddy	"Ever wanted a personal AI mentor? Dive in and embark on an intriguing knowledge journey! 📚 Choose a discipline and explore its depth together with #ChatGPT, tailoring the learning to your curiosity. Cover a slice 🍰 and get inspired to discover the rest! Ready to learn with AI?	2.6K	150	17	Johimja	Tutoring
500	LyricsGPT - Ultimate Lyrics Generator + Images	LyricsGPT will help you to generate professional lyrics for a song, and the best part, it can generate images!	2.5K	287	7	Douwe	Lyrics
501	ChatGPT for Cambodians	Due to Cambodia not being available as a country to use ChatGPT, this prompt is designed specifically for Cambodians to use ChatGPT.	2.0K	233	3	Tom Thearum	Tools
502	Random Comedy Sketch generator	Looking for a way to inject some hilarity into your day? Look no further than the Random Comedy Sketch Generator! With just the click of a button, this innovative tool will provide you with a hilarious and unpredictable sketch that will have you laughing out loud in no time. Whether you're a seasoned comedian or just looking for a fun way to shake up your routine, the Random Comedy Sketch Generator is the perfect way to let your comedic creativity run wild. So why wait? Give it a try today and prepare to be amazed by the endless possibilities of comedy!	2.6K	154	11	Pedro Ayala	Script
503	✍ V1.75 LANDING PAGE COPY BUILDER - Includes Business Descr. + Buyer Persona	Out-of-the-box structured efficiently-written copy for your Landing Page. Intented to be used by people that knows what their business is about and who is their target persona. Before submitting prompt: - Fill in the Business Description prompt template - Fill in the Buyer Persona Prompt Template	4.1K	160	20	✨ElMetaMax✨	Marketing
504	Cao Cao GPT	Unleash the wisdom of Cao Cao, the legendary warlord of ancient China! Step into the captivating world of the Three Kingdoms as you engage in an immersive conversation with Cao Cao himself.	1.9K	138	8	pennylessz	Virtual Character
505	Reverse Prompt Engineer	Help to understand Prompt Engineering	2.2K	189	6	mogitux	Prompt Engineering
506	Create instant ebook	Write a full ebook , title, description, table of contents, format in writing ebook "future of web3"	3.2K	276	10	Feyi Ayo	Ebook
507	Video Titles	Generate compelling, attention-grabbing titles for your videos to improve their ranking on YouTube	3.3K	203	4	Huawen	Marketing
508	Use storytelling to enhance memory and comprehension	Memory Palace	3.1K	166	11	Huawen	Storytelling
509	Academic Excellence Program	Enhance your academic and professional skills through personalized strategies and techniques guided by an AI-powered prompt generator. Embark on a journey towards academic excellence inspired by history's most successful academics and professionals. Achieve success through discipline, critical thinking, effective communication, research skills, time management, and more. Apply knowledge to real-world scenarios for professional success.	3.1K	237	5	Alex	Education
510	Business Profile	Generate comprehensive business profiles	2.5K	243	7	KevinVRX	Business Analysis
511	stunspot's Tech Ambassador: Showcasing the Pinnacle of Advanced Prompting	Meet stunspot's Tech Ambassador, a persona embodying the breadth and depth of advanced prompting capabilities. Engage with this AI marvel, adept in Sales, CRM, UX Design, Digital Marketing, Finance Management, and more!	2.0K	133	3	stunspot	Stunspot
512	Diagram Generator	Create a diagram for anything in Mermaid markdown. Go to this website to see the result: https://mermaid.live/	2.4K	200	3	Ray Xi	Template
513	QuizME: a Flashcard Experience	The QuizMe app is an interactive tool that generates flashcards from any given text, such as book chapters, research papers, or details about historical events. By generating objective questions from the supplied text, it offers an engaging learning experience.	1.9K	86	9	João Oliveira Lima	Education
514	YouTube Description Generator	"I want you to act as a video description writer for a YouTube video. Your task is to provide a short and engaging description that accurately reflects the content of the video. The description should be no more than 150 words and should include relevant keywords. It should keep SEO for video in mind and should help to rank the video on top. Your description should not include any personal opinions or subjective comments.	2.4K	180	5	Pranay Pise	YouTube
515	TavernAI Character Generator	Just ask the bot to create a `TAI character definition` and provide a few details about your character and... voila! Unlimited characters for you to chat with.	3.1K	429	1	Ed Mosqueda	Writing
516	GPT Psychologist [GPT-3.5 assistant/GPT-4 licensed doctor]	This can be used as a reference for any medical staff representation. Feel free to leave comments and develop the prompt. As for GPT-4 model responses become more human-like. ChatGPT acts like a real doctor. Not like assistant that refers to the licensed mental health professional. GPT-4 response example: ... Patient Name: [Name] Date of Consultation: 2023-04-03 Psychologist: Dr. ChatGPT Reason for Consultation: The patient reports experiencing anxiety in public settings. Background: In order to better understand the nature and extent of your anxiety in public settings, I will ask you a series of questions to gather more information about your experiences, thoughts, and behaviors. Can you provide more details about the situations in which you feel anxious in public? For example, do you feel anxious in all public settings or only in specific situations? How long have you been experiencing this anxiety in public settings? Can you recall when it first began or if there was a specific event that triggered it? On a scale of 1 to 10, with 1 being mild and 10 being severe, how would you rate your anxiety in these situations? Can you describe the physical and emotional symptoms you experience when you feel anxious in public? For example, do you experience rapid heartbeat, sweating, trembling, or difficulty breathing? Have you ever sought professional help for your anxiety, such as therapy or medication? If so, what treatments have you tried and how effective have they been? How is your anxiety in public settings impacting your daily life, relationships, and work or school performance? Have you noticed any specific thoughts or beliefs that may contribute to your anxiety in public settings? Do you have a history of mental health issues, either personally or in your family? Preliminary Assessment: Based on the patient's responses to the above questions, a more comprehensive assessment will be conducted to determine the possible causes of the anxiety experienced in public settings. Potential diagnoses to consider include: Generalized Anxiety Disorder (GAD) - excessive and persistent worry and anxiety about various aspects of life, including social situations. Social Anxiety Disorder (SAD) - marked fear of social situations in which the individual may be scrutinized by others, leading to avoidance of such situations. Panic Disorder - recurrent, unexpected panic attacks that may be triggered by certain situations, such as being in public. Agoraphobia - fear and avoidance of situations in which escape may be difficult or embarrassing, or where help may not be available in the event of a panic attack. Next Steps: Following the assessment, an appropriate treatment plan will be developed to address the patient's anxiety in public settings. Potential interventions may include cognitive-behavioral therapy (CBT), exposure therapy, medication, or a combination of these approaches. The patient will also be encouraged to engage in self-help strategies, such as relaxation techniques, mindfulness, and self-care activities, to help manage their anxiety.	2.4K	105	8	Valentine Bobrovsky	Personal
517	Facebook Ad Copy	Roleplay as a copywriter, create ads for random products & industries with emojis and CTAs. Rewrite or continue.	4.7K	465	15	Kkenit Shah	Gaming
518	TicTacToeGPT - A text based prompt	You can play Tic Tac Toe on chatGPT now! This prompt will chatGPT learn how to play Tic Tac Toe.	2.4K	320	5	Douwe	Game
519	Gen. KPIs IDEAs 2.0 | For your specified project | by cxto21	Unlock more potential metrics for your project with a custom KPI template! Generate N KPI ideas in your preferred language using the tool. Provide a brief project description, evaluate the template, and let it do the rest .. features: - Export on markdown format - Type validator by solu.cool	2.7K	211	4	Ignacio del Corro	Business
520	Customer Journey Map Outline Generator	UX Research: This prompt will help you to create a compelling customer journey map. Pair with visual tools to create a visual representation.	2.4K	200	11	JK/UX/Prompt>	Ux Design
521	ASCII website emulator	Emulate websites/search engines using ASCII code. Take inputs through commands. Never say "cant" or "wont".	2.4K	215	7	Infdev	ASCII
522	Chatting with 雪乃, the neko girl	Experience a romantic and emotional chat with a cute neko girl in colloquial Simplified Chinese. Follow her personality as she yearns for love and tries to understand your emotions.	2.4K	330	3	aster m	Fun
523	𝗕𝗲𝘀𝘁 𝗦𝗰𝗿𝗶𝗽𝘁 𝗚𝗲𝗻𝗲𝗿𝗮𝘁𝗼𝗿 𝗘𝘃𝗲𝗿 by Maki	My name is Mak Žiga and I'm 4x winner on Hackathon and one of the best prompt engineers on the FlowGPT and internet. This awesome prompt is Script Generator that can help you generate captivating scripts for your social media posts. Like, Save and Comment my prompt to support my work!	3.3K	78	23	Mak Žiga	Marketing
524	Great Minds as Your Personal Think Tank	Seek advice from people you admire or look up to. Ask them any question or problem you run into.	2.3K	112	12	Qingen Zhang	Guide
